year,geo,hh,house_disp,employ_hash_education,employ_total,employ_f,employ_m,not_employ_total,population,child_avg_allwk,child_avg_allnowk,child_avg
2004.0,IS,HHC_32,206.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IS,HHC_41,75.69999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IS,HHC_42,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IT,HHC_21,124.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IT,HHC_22,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IT,HHC_31,226.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IT,HHC_32,225.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IT,HHC_41,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,IT,HHC_42,54.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,LU,HHC_21,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,LU,HHC_22,388.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,LU,HHC_31,159.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,LU,HHC_32,167.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,LU,HHC_41,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,LU,HHC_42,40.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,NO,HHC_21,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,NO,HHC_22,478.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,NO,HHC_31,185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,NO,HHC_32,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,NO,HHC_41,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,NO,HHC_42,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,PT,HHC_21,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,PT,HHC_22,277.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,PT,HHC_31,181.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,PT,HHC_32,147.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,PT,HHC_41,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,PT,HHC_42,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,SE,HHC_21,106.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,SE,HHC_22,653.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,SE,HHC_31,225.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,SE,HHC_32,253.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
